Kanji,Onyomi,Kunyomi,English,JLPT Level,Category,kanji_to_english,english_to_kanji,kanji_to_pronunciation,pronunciation_to_kanji,english_to_pronunciation,pronunciation_to_english
,,いくつ,"how many?,how old?",N5,Vocabulary,,,,,not studied,not studied
,,いくら,how much?,N5,Vocabulary,,,,,not studied,not studied
池,,いけ,pond,N5,Vocabulary,,,,,not studied,not studied
医者,,いしゃ,medical doctor,N5,Vocabulary,,,,,not studied,not studied
,,いす,chair,N5,Vocabulary,,,,,not studied,not studied
忙しい,,いそがしい,"busy, irritated",N5,Vocabulary,,,,,not studied,not studied
痛い,,いたい,painful,N5,Vocabulary,,,,,not studied,not studied
一,,いち,one,N5,Vocabulary,,,,,not studied,not studied
一日,,いちにち,first of the month,N5,Vocabulary,,,,,not studied,not studied
,,いちばん,"best, first",N5,Vocabulary,,,,,not studied,not studied
,,いつ,when,N5,Vocabulary,,,,,not studied,not studied
五日,,いつか,"five days, fifth day",N5,Vocabulary,,,,,not studied,not studied
一緒,,いっしょ,together,N5,Vocabulary,,,,,not studied,not studied
五つ,,いつつ,five,N5,Vocabulary,,,,,not studied,not studied
,,いつも,always,N5,Vocabulary,,,,,not studied,not studied
犬,,いぬ,dog,N5,Vocabulary,,,,,not studied,not studied
今,,いま,now,N5,Vocabulary,,,,,not studied,not studied
意味,,いみ,meaning,N5,Vocabulary,,,,,not studied,not studied
妹,,いもうと,(humble) younger sister,N5,Vocabulary,,,,,not studied,not studied
嫌,,いや,unpleasant,N5,Vocabulary,,,,,not studied,not studied
入口,,いりぐち,entrance,N5,Vocabulary,,,,,not studied,not studied
居る,,いる,"to be, to have (used for people and animals)",N5,Vocabulary,,,,,not studied,not studied
要る,,いる,to need,N5,Vocabulary,,,,,not studied,not studied
入れる,,いれる,to put in,N5,Vocabulary,,,,,not studied,not studied
色,,いろ,colour,N5,Vocabulary,,,,,not studied,not studied
,,いろいろ,various,N5,Vocabulary,,,,,not studied,not studied
上,,うえ,on top of,N5,Vocabulary,,,,,not studied,not studied
後ろ,,うしろ,behind,N5,Vocabulary,,,,,not studied,not studied
薄い,,うすい,"thin,weak",N5,Vocabulary,,,,,not studied,not studied
歌,,うた,song,N5,Vocabulary,,,,,not studied,not studied
歌う,,うたう,to sing,N5,Vocabulary,,,,,not studied,not studied
生まれる,,うまれる,to be born,N5,Vocabulary,,,,,not studied,not studied
海,,うみ,sea,N5,Vocabulary,,,,,not studied,not studied
売る,,うる,to sell,N5,Vocabulary,,,,,not studied,not studied
煩い,,うるさい,"noisy, annoying",N5,Vocabulary,,,,,not studied,not studied
上着,,うわぎ,jacket,N5,Vocabulary,,,,,not studied,not studied
絵,,え,picture,N5,Vocabulary,,,,,not studied,not studied
映画,,えいが,movie,N5,Vocabulary,,,,,not studied,not studied
映画館,,えいがかん,cinema,N5,Vocabulary,,,,,not studied,not studied
英語,,えいご,English language,N5,Vocabulary,,,,,not studied,not studied
,,ええ,yes,N5,Vocabulary,,,,,not studied,not studied
駅,,えき,station,N5,Vocabulary,,,,,not studied,not studied
,,エレベーター,elevator,N5,Vocabulary,,,,,not studied,not studied
鉛筆,,えんぴつ,pencil,N5,Vocabulary,,,,,not studied,not studied
,,おいしい,delicious,N5,Vocabulary,,,,,not studied,not studied
多い,,おおい,many,N5,Vocabulary,,,,,not studied,not studied
大きい,,おおきい,big,N5,Vocabulary,,,,,not studied,not studied
大きな,,おおきな,big,N5,Vocabulary,,,,,not studied,not studied
大勢,,おおぜい,great number of people,N5,Vocabulary,,,,,not studied,not studied
お母さん,,おかあさん,(honorable) mother,N5,Vocabulary,,,,,not studied,not studied
お菓子,,おかし,"sweets, candy",N5,Vocabulary,,,,,not studied,not studied
お金,,おかね,money,N5,Vocabulary,,,,,not studied,not studied
起きる,,おきる,to get up,N5,Vocabulary,,,,,not studied,not studied
置く,,おく,to put,N5,Vocabulary,,,,,not studied,not studied
奥さん,,おくさん,(honorable) wife,N5,Vocabulary,,,,,not studied,not studied
お酒,,おさけ,"alcohol, rice wine",N5,Vocabulary,,,,,not studied,not studied
お皿,,おさら,"plate, dish",N5,Vocabulary,,,,,not studied,not studied
伯父/叔父,,おじいさん,"grandfather, male senior citizen",N5,Vocabulary,,,,,not studied,not studied
教える,,おしえる,"to teach, to tell",N5,Vocabulary,,,,,not studied,not studied
伯父/叔父,,おじさん,"uncle, middle aged gentleman",N5,Vocabulary,,,,,not studied,not studied
押す,,おす,"to push, to stamp something",N5,Vocabulary,,,,,not studied,not studied
遅い,,おそい,"late, slow",N5,Vocabulary,,,,,not studied,not studied
お茶,,おちゃ,green tea,N5,Vocabulary,,,,,not studied,not studied
お手洗い,,おてあらい,bathroom,N5,Vocabulary,,,,,not studied,not studied
お父さん,,おとうさん,(honorable) father,N5,Vocabulary,,,,,not studied,not studied
弟,,おとうと,younger brother,N5,Vocabulary,,,,,not studied,not studied
男,,おとこ,Man,N5,Vocabulary,,,,,not studied,not studied
男の子,,おとこのこ,Boy,N5,Vocabulary,,,,,not studied,not studied
一昨日,,おととい,day before yesterday,N5,Vocabulary,,,,,not studied,not studied
一昨年,,おととし,year before last,N5,Vocabulary,,,,,not studied,not studied
大人,,おとな,Adult,N5,Vocabulary,,,,,not studied,not studied
,,おなか,stomach,N5,Vocabulary,,,,,not studied,not studied
同じ,,おなじ,same,N5,Vocabulary,,,,,not studied,not studied
お兄さん,,おにいさん,(honorable) older brother,N5,Vocabulary,,,,,not studied,not studied
お姉さん,,おねえさん,(honorable) older sister,N5,Vocabulary,,,,,not studied,not studied
,,おばあさん,"grandmother, female senior-citizen",N5,Vocabulary,,,,,not studied,not studied
伯母さん/叔母さん,,おばさん,Aunt,N5,Vocabulary,,,,,not studied,not studied
お風呂,,おふろ,Bath,N5,Vocabulary,,,,,not studied,not studied
お弁当,,おべんとう,boxed lunch,N5,Vocabulary,,,,,not studied,not studied
覚える,,おぼえる,to remember,N5,Vocabulary,,,,,not studied,not studied
,,おまわりさん,friendly term for policeman,N5,Vocabulary,,,,,not studied,not studied
重い,,おもい,Heavy,N5,Vocabulary,,,,,not studied,not studied
,,おもしろい,Interesting,N5,Vocabulary,,,,,not studied,not studied
泳ぐ,,およぐ,to swim,N5,Vocabulary,,,,,not studied,not studied
降りる,,おりる,"to get off, to descend",N5,Vocabulary,,,,,not studied,not studied
終る,,おわる,to finish,N5,Vocabulary,,,,,not studied,not studied
音楽,,おんがく,Music,N5,Vocabulary,,,,,not studied,not studied
女,,おんな,Woman,N5,Vocabulary,,,,,not studied,not studied
女の子,,おんなのこ,Girl,N5,Vocabulary,,,,,not studied,not studied
外国,,がいこく,foreign country,N5,Vocabulary,,,,,not studied,not studied
外国人,,がいこくじん,Foreigner,N5,Vocabulary,,,,,not studied,not studied
会社,,かいしゃ,Company,N5,Vocabulary,,,,,not studied,not studied
階段,,かいだん,Stairs,N5,Vocabulary,,,,,not studied,not studied
買い物,,かいもの,Shopping,N5,Vocabulary,,,,,not studied,not studied
買う,,かう,to buy,N5,Vocabulary,,,,,not studied,not studied
返す,,かえす,to return something,N5,Vocabulary,,,,,not studied,not studied
帰る,,かえる,to go back,N5,Vocabulary,,,,,not studied,not studied
,,かかる,to take time or money,N5,Vocabulary,,,,,not studied,not studied
,,かぎ,Key,N5,Vocabulary,,,,,not studied,not studied
書く,,かく,to write,N5,Vocabulary,,,,,not studied,not studied
学生,,がくせい,Student,N5,Vocabulary,,,,,not studied,not studied
,,かける,to call by phone,N5,Vocabulary,,,,,not studied,not studied
傘,,かさ,Umbrella,N5,Vocabulary,,,,,not studied,not studied
貸す,,かす,to lend,N5,Vocabulary,,,,,not studied,not studied
風,,かぜ,Wind,N5,Vocabulary,,,,,not studied,not studied
風邪,,かぜ,a cold,N5,Vocabulary,,,,,not studied,not studied
家族,,かぞく,Family,N5,Vocabulary,,,,,not studied,not studied
方,,かた,"person, way of doing",N5,Vocabulary,,,,,not studied,not studied
学校,,がっこう,School,N5,Vocabulary,,,,,not studied,not studied
,,カップ,Cup,N5,Vocabulary,,,,,not studied,not studied
家庭,,かてい,Household,N5,Vocabulary,,,,,not studied,not studied
角,,かど,a corner,N5,Vocabulary,,,,,not studied,not studied
,,かばん,"bag, basket",N5,Vocabulary,,,,,not studied,not studied
花瓶,,かびん,a vase,N5,Vocabulary,,,,,not studied,not studied
紙,,かみ,paper,N5,Vocabulary,,,,,not studied,not studied
,,カメラ,camera,N5,Vocabulary,,,,,not studied,not studied
火曜日,,かようび,Tuesday,N5,Vocabulary,,,,,not studied,not studied
辛い,,からい,Spicy,N5,Vocabulary,,,,,not studied,not studied
体,,からだ,Body,N5,Vocabulary,,,,,not studied,not studied
借りる,,かりる,to borrow,N5,Vocabulary,,,,,not studied,not studied
軽い,,かるい,Light,N5,Vocabulary,,,,,not studied,not studied
,,カレー,Curry,N5,Vocabulary,,,,,not studied,not studied
,,カレンダー,calendar,N5,Vocabulary,,,,,not studied,not studied
川/河,,かわ,River,N5,Vocabulary,,,,,not studied,not studied
,,かわいい,Cute,N5,Vocabulary,,,,,not studied,not studied
漢字,,かんじ,Chinese character,N5,Vocabulary,,,,,not studied,not studied
木,,き,"tree, wood",N5,Vocabulary,,,,,not studied,not studied
黄色,,きいろ,yellow,N5,Vocabulary,,,,,not studied,not studied
黄色い,,きいろい,yellow,N5,Vocabulary,,,,,not studied,not studied
消える,,きえる,to disappear,N5,Vocabulary,,,,,not studied,not studied
聞く,,きく,"to hear, to listen to, to ask",N5,Vocabulary,,,,,not studied,not studied
北,,きた,North,N5,Vocabulary,,,,,not studied,not studied
,,ギター,Guitar,N5,Vocabulary,,,,,not studied,not studied
汚い,,きたない,Dirty,N5,Vocabulary,,,,,not studied,not studied
喫茶店,,きっさてん,coffee lounge,N5,Vocabulary,,,,,not studied,not studied
切手,,きって,postage stamp,N5,Vocabulary,,,,,not studied,not studied
切符,,きっぷ,Ticket,N5,Vocabulary,,,,,not studied,not studied
昨日,,きのう,Yesterday,N5,Vocabulary,,,,,not studied,not studied
九,,きゅう / く,Nine,N5,Vocabulary,,,,,not studied,not studied
牛肉,,ぎゅうにく,Beef,N5,Vocabulary,,,,,not studied,not studied
牛乳,,ぎゅうにゅう,Milk,N5,Vocabulary,,,,,not studied,not studied
今日,,きょう,Today,N5,Vocabulary,,,,,not studied,not studied
教室,,きょうしつ,Classroom,N5,Vocabulary,,,,,not studied,not studied
兄弟,,きょうだい,(humble) siblings,N5,Vocabulary,,,,,not studied,not studied
去年,,きょねん,last year,N5,Vocabulary,,,,,not studied,not studied
嫌い,,きらい,Hate,N5,Vocabulary,,,,,not studied,not studied
切る,,きる,to cut,N5,Vocabulary,,,,,not studied,not studied
着る,,きる,to put on from the shoulders down,N5,Vocabulary,,,,,not studied,not studied
,,きれい,"pretty, clean",N5,Vocabulary,,,,,not studied,not studied
,,キロ/キログラム,Kilogram,N5,Vocabulary,,,,,not studied,not studied
,,キロ/キロメートル,Kilometer,N5,Vocabulary,,,,,not studied,not studied
銀行,,ぎんこう,Bank,N5,Vocabulary,,,,,not studied,not studied
金曜日,,きんようび,Friday,N5,Vocabulary,,,,,not studied,not studied
薬,,くすり,medicine,N5,Vocabulary,,,,,not studied,not studied
,,ください,Please,N5,Vocabulary,,,,,not studied,not studied
果物,,くだもの,Fruit,N5,Vocabulary,,,,,not studied,not studied
口,,くち,"mouth, opening",N5,Vocabulary,,,,,not studied,not studied
靴,,くつ,Shoes,N5,Vocabulary,,,,,not studied,not studied
靴下,,くつした,Socks,N5,Vocabulary,,,,,not studied,not studied
国,,くに,Country,N5,Vocabulary,,,,,not studied,not studied
曇り,,くもり,cloudy weather,N5,Vocabulary,,,,,not studied,not studied
曇る,,くもる,"to become cloudy, to become dim",N5,Vocabulary,,,,,not studied,not studied
暗い,,くらい,Gloomy,N5,Vocabulary,,,,,not studied,not studied
,,クラス,Class,N5,Vocabulary,,,,,not studied,not studied
,,グラム,Gram,N5,Vocabulary,,,,,not studied,not studied
来る,,くる,to come,N5,Vocabulary,,,,,not studied,not studied
車,,くるま,"car, vehicle",N5,Vocabulary,,,,,not studied,not studied
黒,,くろ,Black,N5,Vocabulary,,,,,not studied,not studied
黒い,,くろい,black,N5,Vocabulary,,,,,not studied,not studied
警官,,けいかん,policeman,N5,Vocabulary,,,,,not studied,not studied
今朝,,けさ,this morning,N5,Vocabulary,,,,,not studied,not studied
消す,,けす,"to erase, to turn off power",N5,Vocabulary,,,,,not studied,not studied
結構,,けっこう,"splendid, enough",N5,Vocabulary,,,,,not studied,not studied
結婚,,けっこん,Marriage,N5,Vocabulary,,,,,not studied,not studied
月曜日,,げつようび,Monday,N5,Vocabulary,,,,,not studied,not studied
玄関,,げんかん,entry hall,N5,Vocabulary,,,,,not studied,not studied
元気,,げんき,"health, vitality",N5,Vocabulary,,,,,not studied,not studied
五,,ご,Five,N5,Vocabulary,,,,,not studied,not studied
公園,,こうえん,Park,N5,Vocabulary,,,,,not studied,not studied
交差点,,こうさてん,intersection,N5,Vocabulary,,,,,not studied,not studied
紅茶,,こうちゃ,black tea,N5,Vocabulary,,,,,not studied,not studied
交番,,こうばん,police box,N5,Vocabulary,,,,,not studied,not studied
声,,こえ,Voice,N5,Vocabulary,,,,,not studied,not studied
,,コート,"coat, tennis court",N5,Vocabulary,,,,,not studied,not studied
,,コーヒー,Coffee,N5,Vocabulary,,,,,not studied,not studied
,,ここ,Here,N5,Vocabulary,,,,,not studied,not studied
午後,,ごご,afternoon,N5,Vocabulary,,,,,not studied,not studied
九日,,ここのか,"nine days, ninth day",N5,Vocabulary,,,,,not studied,not studied
九つ,,ここのつ,Nine,N5,Vocabulary,,,,,not studied,not studied
午前,,ごぜん,morning,N5,Vocabulary,,,,,not studied,not studied
答える,,こたえる,to answer,N5,Vocabulary,,,,,not studied,not studied
,,こちら,this person or way,N5,Vocabulary,,,,,not studied,not studied
,,こっち,this person or way,N5,Vocabulary,,,,,not studied,not studied
,,コップ,a glass,N5,Vocabulary,,,,,not studied,not studied
今年,,ことし,this year,N5,Vocabulary,,,,,not studied,not studied
言葉,,ことば,"word, language",N5,Vocabulary,,,,,not studied,not studied
子供,,こども,Child,N5,Vocabulary,,,,,not studied,not studied
,,この,This,N5,Vocabulary,,,,,not studied,not studied
御飯,,ごはん,"cooked rice, meal",N5,Vocabulary,,,,,not studied,not studied
,,コピーする,to copy,N5,Vocabulary,,,,,not studied,not studied
困る,,こまる,to be worried,N5,Vocabulary,,,,,not studied,not studied
,,これ,This,N5,Vocabulary,,,,,not studied,not studied
今月,,こんげつ,this month,N5,Vocabulary,,,,,not studied,not studied
今週,,こんしゅう,this week,N5,Vocabulary,,,,,not studied,not studied
,,こんな,Such,N5,Vocabulary,,,,,not studied,not studied
今晩,,こんばん,this evening,N5,Vocabulary,,,,,not studied,not studied
,,さあ,well…,N5,Vocabulary,,,,,not studied,not studied
財布,,さいふ,Wallet,N5,Vocabulary,,,,,not studied,not studied
魚,,さかな,Fish,N5,Vocabulary,,,,,not studied,not studied
先,,さき,"the future, previous",N5,Vocabulary,,,,,not studied,not studied
咲く,,さく,to bloom,N5,Vocabulary,,,,,not studied,not studied
作文,,さくぶん,"composition, writing",N5,Vocabulary,,,,,not studied,not studied
差す,,さす,"to stretch out hands, to raise an umbrella",N5,Vocabulary,,,,,not studied,not studied
雑誌,,ざっし,Magazine,N5,Vocabulary,,,,,not studied,not studied
砂糖,,さとう,Sugar,N5,Vocabulary,,,,,not studied,not studied
寒い,,さむい,Cold,N5,Vocabulary,,,,,not studied,not studied
さ来年,,さらいねん,year after next,N5,Vocabulary,,,,,not studied,not studied
三,,さん,Three,N5,Vocabulary,,,,,not studied,not studied
散歩,,さんぽする,to stroll,N5,Vocabulary,,,,,not studied,not studied
四,,し / よん,Four,N5,Vocabulary,,,,,not studied,not studied
塩,,しお,Salt,N5,Vocabulary,,,,,not studied,not studied
,,しかし,However,N5,Vocabulary,,,,,not studied,not studied
